Category,Description,Amount,Date
miscellaneous,manicure/pedicure,188.31,2024-02-04
shopping,birthday gift for friend,265.06,2024-02-05
food,supermarket run,108.92,2024-02-05
miscellaneous,ira deposit,131.78,2024-02-05
miscellaneous,mutual fund purchase,265.03,2024-02-06
miscellaneous,university tuition payment,232.14,2024-02-06
housing,rent for apartment,280.83,2024-02-01
miscellaneous,ira deposit,173.3,2024-02-01
miscellaneous,school stationery,194.49,2024-02-01
food,fresh produce purchase,50.55,2024-02-01
transportation,monthly transit pass,59.47,2024-02-03
transportation,lyft trip,250.82,2024-02-03
miscellaneous,travel insurance,175.8,2024-02-03
shopping,kitchenware purchase,268.76,2024-02-04
housing,rent for apartment,243.64,2024-02-04
miscellaneous,transfer to emergency savings,63.51,2024-02-04
miscellaneous,pet food purchase,166.65,2024-02-04
miscellaneous,gym membership fee,220.98,2024-02-04
entertainment,movie tickets,158.5,2024-02-04
miscellaneous,pet grooming,112.71,2024-02-05
miscellaneous,credit card bill payment,299.35,2024-02-05
food,dinner at mcdonald's,200.0,2024-02-05
miscellaneous,ira deposit,254.66,2024-02-05
food,lunch at mcdonald's,226.08,2024-02-05
transportation,gas station fill-up,223.42,2024-02-06
miscellaneous,crowdfunding contribution,169.83,2024-02-07
miscellaneous,transfer to emergency savings,96.16,2024-02-07
miscellaneous,manicure/pedicure,183.58,2024-02-07
miscellaneous,mutual fund purchase,199.3,2024-02-01
entertainment,video game purchase,192.77,2024-02-01
food,lunch at mcdonald's,182.89,2024-02-01
shopping,laptop upgrade,260.78,2024-02-01
entertainment,netflix monthly fee,112.64,2024-02-02
miscellaneous,401(k) contribution,176.46,2024-02-02
miscellaneous,online course fee,294.31,2024-02-02
food,fresh produce purchase,218.72,2024-02-03
entertainment,movie tickets,205.12,2024-02-03
entertainment,spotify subscription,244.41,2024-02-04
miscellaneous,e-book download,196.15,2024-02-04
housing,phone bill,102.45,2024-02-05
entertainment,amazon prime renewal,181.67,2024-02-05
miscellaneous,personal loan installment,101.8,2024-02-05
transportation,electric car charging,183.73,2024-02-05
miscellaneous,personal loan installment,177.69,2024-02-07
entertainment,amazon prime renewal,85.59,2024-02-07
miscellaneous,car loan monthly payment,263.51,2024-02-02
miscellaneous,textbook purchase,294.22,2024-02-03
miscellaneous,credit card bill payment,253.2,2024-02-03
entertainment,theater show,184.53,2024-02-04
miscellaneous,textbook purchase,284.42,2024-02-04
food,dinner at mcdonald's,200.0,2024-02-04
healthcare,over-the-counter medicines,252.48,2024-02-07
housing,water bill,214.13,2024-02-07
food,quick bite at mcdonald's,194.32,2024-02-01
transportation,electric car charging,105.0,2024-02-01
housing,monthly mortgage payment,213.95,2024-03-02
food,weekly grocery shopping,119.93,2024-03-03
miscellaneous,stock market investment,104.38,2024-03-03
miscellaneous,spa treatment,95.59,2024-03-03
miscellaneous,school stationery,175.57,2024-03-03
miscellaneous,gym membership fee,92.05,2024-03-04
healthcare,health insurance premium,282.08,2024-03-05
shopping,holiday shopping,73.92,2024-03-06
food,weekly grocery shopping,253.33,2024-03-06
miscellaneous,credit card bill payment,229.0,2024-03-06
miscellaneous,textbook purchase,97.87,2024-03-01
miscellaneous,new work outfit,88.73,2024-03-01
transportation,subway ticket,68.97,2024-03-02
miscellaneous,new work outfit,99.99,2024-03-02
entertainment,spotify subscription,207.06,2024-03-02
miscellaneous,gym membership fee,235.9,2024-03-04
miscellaneous,ira deposit,285.67,2024-03-04
shopping,smart home device,121.7,2024-03-05
miscellaneous,pet food purchase,266.49,2024-03-05
housing,monthly mortgage payment,242.14,2024-03-06
miscellaneous,mutual fund purchase,276.6,2024-03-07
food,weekly grocery shopping,262.0,2024-03-07
miscellaneous,school stationery,269.28,2024-03-07
entertainment,book buying,194.93,2024-03-07
entertainment,netflix monthly fee,267.53,2024-03-01
entertainment,video game purchase,213.53,2024-03-02
transportation,monthly transit pass,142.49,2024-03-04
transportation,electric car charging,158.16,2024-03-04
transportation,lyft trip,285.21,2024-03-06
miscellaneous,manicure/pedicure,209.42,2024-03-07
healthcare,health insurance premium,215.17,2024-03-07
food,dinner at mcdonald's,200.0,2024-03-01
miscellaneous,401(k) contribution,151.16,2024-03-01
entertainment,amazon prime renewal,100.88,2024-03-01
miscellaneous,shoes shopping,264.52,2024-03-01
entertainment,netflix monthly fee,275.85,2024-03-02
healthcare,health insurance premium,196.63,2024-03-02
miscellaneous,rainy day fund deposit,189.84,2024-03-02
miscellaneous,veterinary check-up,141.52,2024-03-03
healthcare,annual check-up,289.91,2024-03-03
miscellaneous,personal loan installment,217.93,2024-03-03
entertainment,netflix monthly fee,143.07,2024-03-03
miscellaneous,yoga class,146.82,2024-03-03
miscellaneous,textbook purchase,61.84,2024-03-03
miscellaneous,travel insurance,252.19,2024-03-04
transportation,electric car charging,182.14,2024-03-04
shopping,home decor items,115.23,2024-03-05
miscellaneous,gym membership fee,127.69,2024-03-05
miscellaneous,laptop for studies,283.71,2024-03-06
miscellaneous,flight tickets,253.74,2024-03-06
miscellaneous,ira deposit,254.21,2024-03-06
entertainment,art supplies,255.7,2024-03-01
transportation,gas station fill-up,52.42,2024-03-01
food,dinner at mcdonald's,200.0,2024-03-01
miscellaneous,card balance transfer,88.06,2024-03-02
housing,home loan installment,181.43,2024-03-03
shopping,home decor items,274.33,2024-03-03
miscellaneous,transfer to emergency savings,75.09,2024-03-03
shopping,kitchenware purchase,184.48,2024-04-01
miscellaneous,manicure/pedicure,275.07,2024-04-01
healthcare,health insurance premium,68.4,2024-04-02
transportation,taxi fare,89.1,2024-04-02
miscellaneous,school stationery,216.99,2024-04-02
housing,monthly mortgage payment,227.86,2024-04-02
miscellaneous,credit card bill payment,292.46,2024-04-04
miscellaneous,school stationery,268.61,2024-04-05
housing,home loan installment,76.97,2024-04-05
miscellaneous,card balance transfer,235.98,2024-04-06
miscellaneous,rainy day fund deposit,232.74,2024-04-06
miscellaneous,casual wear purchase,171.67,2024-04-06
healthcare,health insurance premium,281.09,2024-04-01
miscellaneous,miscellaneous purchase,115.46,2024-04-01
miscellaneous,e-book download,130.95,2024-04-02
miscellaneous,textbook purchase,223.25,2024-04-02
healthcare,health insurance premium,149.06,2024-04-02
entertainment,concert tickets,288.89,2024-04-02
miscellaneous,student loan payment,184.64,2024-04-02
miscellaneous,personal loan installment,87.04,2024-04-02
entertainment,theater show,281.28,2024-04-03
shopping,birthday gift for friend,88.33,2024-04-04
housing,rent for apartment,81.93,2024-04-05
entertainment,art supplies,127.22,2024-04-05
miscellaneous,e-book download,109.24,2024-04-05
entertainment,art supplies,70.39,2024-04-06
entertainment,video game purchase,193.28,2024-04-06
miscellaneous,crowdfunding contribution,192.13,2024-04-07
miscellaneous,rainy day fund deposit,99.51,2024-04-02
transportation,bus fare,242.6,2024-04-02
food,quick bite at mcdonald's,129.01,2024-04-03
miscellaneous,travel insurance,226.86,2024-04-04
miscellaneous,ira deposit,123.17,2024-04-04
miscellaneous,car loan monthly payment,213.66,2024-04-04
food,fresh produce purchase,95.68,2024-04-05
transportation,bus fare,276.93,2024-04-05
miscellaneous,textbook purchase,57.35,2024-04-06
miscellaneous,online course fee,62.72,2024-04-06
miscellaneous,manicure/pedicure,200.68,2024-04-06
housing,gas bill,158.64,2024-04-07
shopping,holiday shopping,236.58,2024-04-07
food,dinner at mcdonald's,200.0,2024-04-07
entertainment,theater show,145.89,2024-04-01
housing,phone bill,64.68,2024-04-02
entertainment,art supplies,161.56,2024-04-03
transportation,taxi fare,98.54,2024-04-03
food,fresh produce purchase,224.66,2024-04-05
miscellaneous,car loan monthly payment,195.01,2024-04-06
miscellaneous,pet food purchase,197.1,2024-04-06
food,dinner at mcdonald's,133.52,2024-04-06
entertainment,movie tickets,142.92,2024-04-07
miscellaneous,spa treatment,123.23,2024-04-07
miscellaneous,student loan payment,93.11,2024-04-07
food,fresh produce purchase,219.51,2024-05-02
miscellaneous,sports equipment,238.72,2024-05-04
food,supermarket run,171.4,2024-05-04
transportation,taxi fare,69.01,2024-05-04
food,fresh produce purchase,61.43,2024-05-05
shopping,holiday shopping,138.0,2024-05-05
miscellaneous,hotel booking,68.1,2024-05-06
shopping,smart home device,158.54,2024-05-06
entertainment,book buying,114.48,2024-05-07
housing,monthly mortgage payment,281.15,2024-05-01
miscellaneous,new work outfit,291.2,2024-05-01
housing,monthly mortgage payment,290.55,2024-05-02
entertainment,netflix monthly fee,87.2,2024-05-02
miscellaneous,laptop for studies,128.11,2024-05-02
miscellaneous,car loan monthly payment,167.21,2024-05-02
miscellaneous,e-book download,85.31,2024-05-02
shopping,anniversary present,233.54,2024-05-03
food,dinner at mcdonald's,261.29,2024-05-04
healthcare,dentist appointment,248.06,2024-05-06
food,dinner at mcdonald's,200.0,2024-05-06
shopping,anniversary present,164.48,2024-05-06
entertainment,theater show,264.05,2024-05-06
shopping,smart home device,238.14,2024-05-07
entertainment,book buying,132.63,2024-05-07
housing,monthly mortgage payment,69.64,2024-05-01
miscellaneous,school stationery,183.53,2024-05-01
food,dinner at mcdonald's,200.0,2024-05-02
miscellaneous,rainy day fund deposit,287.78,2024-05-03
food,dinner at mcdonald's,200.0,2024-05-03
transportation,lyft trip,247.7,2024-05-04
entertainment,book buying,187.74,2024-05-04
miscellaneous,e-book download,271.13,2024-05-04
miscellaneous,card balance transfer,216.59,2024-05-04
entertainment,theater show,297.44,2024-05-04
miscellaneous,flight tickets,165.85,2024-05-04
shopping,bedroom furniture,66.5,2024-05-05
miscellaneous,card balance transfer,298.51,2024-05-05
healthcare,health insurance premium,236.43,2024-05-05
miscellaneous,textbook purchase,171.22,2024-05-05
miscellaneous,personal loan installment,87.75,2024-05-06
entertainment,amazon prime renewal,221.48,2024-05-06
housing,home loan installment,211.96,2024-05-07
miscellaneous,card balance transfer,255.42,2024-05-07
shopping,laptop upgrade,227.72,2024-05-01
transportation,electric car charging,228.74,2024-05-03
transportation,electric car charging,195.15,2024-05-03
housing,home loan installment,82.25,2024-05-03
healthcare,health insurance premium,270.69,2024-05-03
healthcare,annual check-up,117.39,2024-05-03
entertainment,theater show,84.17,2024-05-05
food,weekly grocery shopping,141.1,2024-05-05
miscellaneous,textbook purchase,115.32,2024-05-06
shopping,holiday shopping,188.62,2024-05-07
miscellaneous,travel insurance,256.42,2024-05-07
miscellaneous,personal loan installment,238.38,2024-05-01
miscellaneous,gym membership fee,159.73,2024-05-01
food,supermarket run,64.29,2024-05-01
healthcare,specialist consultation,230.04,2024-05-02
food,"coffee at morris, stewart and johnson",237.3,2024-05-02
miscellaneous,student loan payment,190.08,2024-05-02
miscellaneous,spa treatment,195.33,2024-05-03
food,dinner at mcdonald's,200.0,2024-06-01
miscellaneous,charitable donation,126.17,2024-06-01
housing,home loan installment,282.32,2024-06-02
miscellaneous,car loan monthly payment,66.26,2024-06-02
entertainment,theater show,65.19,2024-06-02
housing,monthly mortgage payment,240.52,2024-06-03
miscellaneous,transfer to emergency savings,284.06,2024-06-04
miscellaneous,laptop for studies,162.14,2024-06-04
healthcare,prescription refill,173.8,2024-06-04
shopping,new smartphone,212.97,2024-06-05
food,dinner at mcdonald's,200.0,2024-06-06
housing,rent for apartment,296.96,2024-06-06
food,supermarket run,53.48,2024-06-06
miscellaneous,card balance transfer,286.32,2024-06-06
miscellaneous,school stationery,144.61,2024-06-07
miscellaneous,shoes shopping,195.24,2024-06-02
healthcare,prescription refill,72.3,2024-06-02
miscellaneous,manicure/pedicure,158.28,2024-06-02
transportation,gas station fill-up,63.12,2024-06-03
food,supermarket run,226.48,2024-06-03
miscellaneous,yoga class,70.65,2024-06-05
miscellaneous,new work outfit,145.4,2024-06-06
miscellaneous,charitable donation,199.67,2024-06-07
food,dinner at mcdonald's,200.0,2024-06-07
miscellaneous,manicure/pedicure,207.53,2024-06-01
shopping,laptop upgrade,170.79,2024-06-01
shopping,bedroom furniture,157.43,2024-06-02
miscellaneous,rainy day fund deposit,185.74,2024-06-02
food,lunch at mcdonald's,109.89,2024-06-02
transportation,taxi fare,266.51,2024-06-02
miscellaneous,personal loan installment,277.92,2024-06-03
transportation,monthly transit pass,257.17,2024-06-04
transportation,electric car charging,244.28,2024-06-04
miscellaneous,card balance transfer,102.19,2024-06-05
transportation,electric car charging,193.9,2024-06-05
entertainment,netflix monthly fee,165.4,2024-06-06
housing,internet service,137.84,2024-06-07
food,dinner at mcdonald's,200.0,2024-06-01
healthcare,specialist consultation,160.09,2024-06-02
shopping,kitchenware purchase,57.88,2024-06-02
miscellaneous,credit card bill payment,114.88,2024-06-03
shopping,home decor items,144.93,2024-06-04
miscellaneous,student loan payment,167.39,2024-06-04
entertainment,concert tickets,223.91,2024-06-05
miscellaneous,personal loan installment,215.64,2024-06-05
transportation,bus fare,266.27,2024-06-06
shopping,new smartphone,121.27,2024-06-06
housing,internet service,270.18,2024-06-01
miscellaneous,ira deposit,204.36,2024-06-02
shopping,laptop upgrade,231.83,2024-06-02
miscellaneous,flight tickets,105.99,2024-06-02
entertainment,concert tickets,85.11,2024-06-02
shopping,home decor items,240.1,2024-07-01
housing,home loan installment,87.3,2024-07-01
shopping,new smartphone,163.13,2024-07-01
transportation,lyft trip,169.49,2024-07-02
shopping,new smartphone,113.26,2024-07-03
miscellaneous,manicure/pedicure,233.42,2024-07-03
healthcare,annual check-up,281.0,2024-07-05
food,fresh produce purchase,264.46,2024-07-05
transportation,lyft trip,293.53,2024-07-05
miscellaneous,transfer to emergency savings,86.6,2024-07-05
healthcare,over-the-counter medicines,234.33,2024-07-05
housing,water bill,119.28,2024-07-06
miscellaneous,online course fee,138.42,2024-07-07
entertainment,spotify subscription,289.06,2024-07-07
food,fresh produce purchase,222.62,2024-07-02
entertainment,concert tickets,282.69,2024-07-02
healthcare,dentist appointment,286.95,2024-07-03
housing,electricity bill,123.55,2024-07-03
shopping,birthday gift for friend,214.56,2024-07-04
food,dinner at mcdonald's,200.0,2024-07-04
transportation,gas station fill-up,216.74,2024-07-05
transportation,uber ride,120.63,2024-07-05
housing,monthly rent payment,117.78,2024-07-05
miscellaneous,haircut and styling,176.41,2024-07-06
miscellaneous,charitable donation,197.51,2024-07-06
miscellaneous,haircut and styling,246.57,2024-07-07
miscellaneous,unexpected expense,280.38,2024-07-02
entertainment,concert tickets,278.7,2024-07-03
miscellaneous,manicure/pedicure,197.53,2024-07-03
entertainment,concert tickets,91.62,2024-07-03
miscellaneous,car loan monthly payment,166.64,2024-07-04
miscellaneous,unexpected expense,122.63,2024-07-04
healthcare,dentist appointment,110.8,2024-07-05
healthcare,over-the-counter medicines,162.95,2024-07-06
transportation,subway ticket,155.03,2024-07-06
food,lunch at mcdonald's,75.26,2024-07-07
healthcare,prescription refill,159.31,2024-07-01
food,fresh produce purchase,63.34,2024-07-01
miscellaneous,miscellaneous purchase,147.57,2024-07-02
housing,cable tv subscription,295.65,2024-07-02
healthcare,health insurance premium,292.96,2024-07-03
miscellaneous,flight tickets,174.63,2024-07-03
miscellaneous,gym membership fee,70.05,2024-07-03
miscellaneous,charitable donation,254.33,2024-07-03
entertainment,netflix monthly fee,80.76,2024-07-04
transportation,lyft trip,261.17,2024-07-04
miscellaneous,university tuition payment,211.79,2024-07-05
food,dinner at mcdonald's,200.0,2024-07-05
miscellaneous,school stationery,154.49,2024-07-05
shopping,home decor items,264.58,2024-07-05
miscellaneous,travel insurance,187.76,2024-07-06
entertainment,theater show,222.65,2024-07-06
miscellaneous,cryptocurrency buy,120.11,2024-07-07
food,lunch at mcdonald's,82.64,2024-07-01
miscellaneous,shoes shopping,165.98,2024-07-01
shopping,holiday shopping,127.95,2024-07-02
miscellaneous,transfer to emergency savings,71.99,2024-07-02
miscellaneous,rainy day fund deposit,157.04,2024-07-03
entertainment,concert tickets,94.44,2024-07-03
transportation,bus fare,156.07,2024-08-01
transportation,taxi fare,107.85,2024-08-01
miscellaneous,yoga class,270.38,2024-08-01
entertainment,art supplies,51.66,2024-08-01
miscellaneous,sports equipment,215.64,2024-08-01
food,quick bite at mcdonald's,274.71,2024-08-02
miscellaneous,manicure/pedicure,267.11,2024-08-03
healthcare,dental insurance payment,119.78,2024-08-03
healthcare,dental insurance payment,126.29,2024-08-05
transportation,monthly transit pass,127.73,2024-08-05
miscellaneous,card balance transfer,142.47,2024-08-05
miscellaneous,401(k) contribution,207.55,2024-08-06
miscellaneous,sports equipment,163.07,2024-08-06
miscellaneous,stock market investment,107.06,2024-08-01
healthcare,dentist appointment,131.95,2024-08-01
shopping,holiday shopping,196.09,2024-08-02
shopping,home decor items,243.62,2024-08-04
miscellaneous,401(k) contribution,199.24,2024-08-04
housing,home loan installment,64.64,2024-08-05
transportation,gas station fill-up,169.23,2024-08-05
transportation,gas station fill-up,273.83,2024-08-05
miscellaneous,charitable donation,119.83,2024-08-06
shopping,home decor items,201.15,2024-08-06
transportation,lyft trip,123.48,2024-08-06
miscellaneous,rainy day fund deposit,116.83,2024-08-07
miscellaneous,unexpected expense,286.85,2024-08-01
miscellaneous,school stationery,128.64,2024-08-01
food,dinner at mcdonald's,198.79,2024-08-01
housing,monthly mortgage payment,117.06,2024-08-02
transportation,subway ticket,74.42,2024-08-03
miscellaneous,shoes shopping,89.66,2024-08-05
miscellaneous,university tuition payment,53.52,2024-08-06
entertainment,amazon prime renewal,213.11,2024-08-06
food,coffee at powers inc,266.11,2024-08-07
food,"coffee at soto, mckinney and larson",269.57,2024-08-01
miscellaneous,miscellaneous purchase,150.48,2024-08-01
healthcare,prescription refill,280.83,2024-08-01
miscellaneous,crowdfunding contribution,196.15,2024-08-02
miscellaneous,laptop for studies,132.49,2024-08-02
entertainment,movie tickets,89.39,2024-08-02
miscellaneous,manicure/pedicure,230.85,2024-08-02
entertainment,video game purchase,165.78,2024-08-02
housing,home loan installment,234.7,2024-08-02
food,"coffee at sloan, sims and davis",292.23,2024-08-04
miscellaneous,card balance transfer,138.8,2024-08-04
miscellaneous,textbook purchase,93.1,2024-08-04
entertainment,netflix monthly fee,161.26,2024-08-04
miscellaneous,casual wear purchase,156.47,2024-08-05
miscellaneous,sports equipment,242.85,2024-08-05
miscellaneous,casual wear purchase,96.02,2024-08-06
healthcare,health insurance premium,289.79,2024-08-06
miscellaneous,veterinary check-up,268.3,2024-08-06
miscellaneous,textbook purchase,138.58,2024-08-06
miscellaneous,new work outfit,57.65,2024-08-07
miscellaneous,pet grooming,200.26,2024-08-01
miscellaneous,card balance transfer,101.98,2024-08-02
entertainment,art supplies,189.57,2024-08-02
transportation,bus fare,181.66,2024-08-02
miscellaneous,crowdfunding contribution,278.69,2024-08-03
miscellaneous,rainy day fund deposit,256.22,2024-08-03
food,quick bite at mcdonald's,99.38,2024-08-03
healthcare,health insurance premium,166.32,2024-09-01
miscellaneous,new work outfit,184.35,2024-09-01
shopping,home decor items,154.03,2024-09-01
healthcare,annual check-up,120.3,2024-09-01
miscellaneous,miscellaneous purchase,153.23,2024-09-01
miscellaneous,gym membership fee,190.38,2024-09-02
shopping,birthday gift for friend,129.74,2024-09-02
entertainment,theater show,156.21,2024-09-02
miscellaneous,online course fee,97.72,2024-09-02
housing,electricity bill,68.88,2024-09-02
miscellaneous,university tuition payment,296.75,2024-09-03
miscellaneous,hotel booking,171.78,2024-09-03
food,"coffee at allen, wood and camacho",269.64,2024-09-03
miscellaneous,unexpected expense,292.06,2024-09-04
food,dinner at mcdonald's,99.33,2024-09-04
healthcare,prescription refill,279.03,2024-09-04
transportation,gas station fill-up,158.0,2024-09-05
miscellaneous,student loan payment,254.55,2024-09-07
food,lunch at mcdonald's,183.74,2024-09-01
miscellaneous,unexpected expense,83.65,2024-09-01
miscellaneous,ira deposit,206.91,2024-09-01
food,dinner at mcdonald's,200.0,2024-09-02
transportation,taxi fare,231.6,2024-09-03
shopping,smart home device,133.45,2024-09-04
food,dinner at mcdonald's,52.0,2024-09-04
miscellaneous,miscellaneous purchase,214.59,2024-09-04
healthcare,dentist appointment,206.63,2024-09-05
miscellaneous,pet grooming,51.9,2024-09-05
food,dinner at mcdonald's,200.0,2024-09-06
healthcare,dental insurance payment,135.61,2024-09-06
shopping,anniversary present,157.71,2024-09-06
healthcare,specialist consultation,79.72,2024-09-07
shopping,home decor items,66.0,2024-09-02
miscellaneous,veterinary check-up,153.01,2024-09-02
entertainment,amazon prime renewal,106.81,2024-09-02
miscellaneous,spa treatment,109.65,2024-09-02
entertainment,art supplies,74.55,2024-09-02
miscellaneous,travel insurance,171.49,2024-09-02
healthcare,prescription refill,258.03,2024-09-02
food,supermarket run,251.14,2024-09-03
food,fresh produce purchase,67.85,2024-09-03
housing,monthly mortgage payment,170.41,2024-09-04
miscellaneous,travel insurance,287.67,2024-09-04
transportation,gas station fill-up,152.89,2024-09-04
food,dinner at mcdonald's,200.0,2024-09-05
transportation,lyft trip,234.6,2024-09-05
entertainment,netflix monthly fee,110.12,2024-09-05
miscellaneous,miscellaneous purchase,158.89,2024-09-06
entertainment,amazon prime renewal,281.62,2024-09-07
healthcare,over-the-counter medicines,168.58,2024-09-02
miscellaneous,shoes shopping,62.89,2024-09-02
miscellaneous,school stationery,111.63,2024-09-03
shopping,holiday shopping,276.42,2024-09-03
entertainment,movie tickets,292.94,2024-09-04
shopping,bedroom furniture,281.74,2024-09-06
miscellaneous,rainy day fund deposit,160.8,2024-09-06
housing,internet service,128.44,2024-09-06
miscellaneous,new work outfit,116.27,2024-09-07
miscellaneous,mutual fund purchase,95.82,2024-09-07
miscellaneous,manicure/pedicure,210.7,2024-09-01
miscellaneous,stock market investment,272.61,2024-09-01
healthcare,annual check-up,131.11,2024-09-02
shopping,bedroom furniture,213.2,2024-10-01
entertainment,book buying,240.04,2024-10-02
transportation,lyft trip,56.06,2024-10-02
food,quick bite at mcdonald's,190.71,2024-10-02
entertainment,theater show,264.44,2024-10-02
miscellaneous,cryptocurrency buy,288.05,2024-10-03
entertainment,amazon prime renewal,243.23,2024-10-03
miscellaneous,rainy day fund deposit,228.94,2024-10-05
miscellaneous,university tuition payment,283.6,2024-10-06
miscellaneous,online course fee,128.47,2024-10-06
food,domino's pepperoni pizza,149.47,2024-07-17
food,whole foods organic veggies,39.9,2021-05-28
food,kfc chicken bucket,129.09,2020-06-29
food,domino's pepperoni pizza,132.6,2022-01-28
food,panera bread soup,70.84,2022-04-09
food,pizza hut cheese burst,135.31,2024-08-04
food,panera bread soup,22.32,2024-01-05
food,chipotle burrito bowl,102.92,2021-07-15
food,panda express orange chicken,31.41,2021-04-24
food,panda express orange chicken,147.83,2021-10-13
food,domino's pepperoni pizza,12.18,2022-03-15
food,kfc chicken bucket,40.87,2023-04-16
food,chipotle burrito bowl,16.31,2024-05-21
food,burger king whopper,3.94,2020-01-23
food,panera bread soup,37.22,2024-03-30
food,mcdonald's combo meal,146.74,2024-05-17
food,subway italian bmt,146.23,2020-05-08
food,panera bread soup,70.22,2022-03-13
food,domino's pepperoni pizza,66.34,2024-11-05
food,panda express orange chicken,77.21,2024-05-09
food,panera bread soup,37.34,2021-01-15
food,subway italian bmt,123.84,2023-03-16
food,panda express orange chicken,34.1,2022-01-07
food,local farmers market,138.82,2023-10-06
food,starbucks latte,67.17,2021-06-09
food,local farmers market,63.25,2022-06-05
food,whole foods organic veggies,137.31,2022-06-04
food,panda express orange chicken,110.4,2024-10-03
food,domino's pepperoni pizza,126.04,2023-11-06
food,domino's pepperoni pizza,74.6,2021-03-10
food,subway italian bmt,106.24,2022-04-21
food,pizza hut cheese burst,87.97,2023-08-07
food,pizza hut cheese burst,145.33,2020-04-07
food,burger king whopper,113.28,2023-02-10
food,panda express orange chicken,29.06,2020-03-18
food,panda express orange chicken,35.33,2020-05-23
food,mcdonald's combo meal,115.57,2021-08-02
food,mcdonald's combo meal,7.79,2022-11-06
food,chipotle burrito bowl,57.54,2020-10-02
food,local farmers market,45.66,2021-06-11
food,local farmers market,122.63,2024-08-14
food,panda express orange chicken,111.45,2020-08-20
food,pizza hut cheese burst,23.57,2020-09-28
food,kfc chicken bucket,36.2,2021-07-04
food,kfc chicken bucket,108.63,2024-11-10
food,kfc chicken bucket,93.38,2021-05-19
food,local farmers market,105.85,2022-07-15
food,kfc chicken bucket,89.22,2024-05-28
food,mcdonald's combo meal,77.28,2024-08-21
food,pizza hut cheese burst,115.54,2021-04-19
food,kfc chicken bucket,105.72,2023-05-06
food,whole foods organic veggies,34.43,2020-02-25
food,mcdonald's combo meal,5.5,2023-08-12
food,chipotle burrito bowl,91.38,2024-12-27
food,panda express orange chicken,60.29,2022-03-09
food,pizza hut cheese burst,75.54,2021-04-24
food,whole foods organic veggies,76.71,2024-01-02
food,local farmers market,76.7,2023-11-04
food,pizza hut cheese burst,108.64,2023-11-13
food,panda express orange chicken,8.82,2022-08-22
food,local farmers market,89.26,2023-02-23
food,domino's pepperoni pizza,109.06,2024-03-22
food,subway italian bmt,127.48,2021-07-26
food,panda express orange chicken,14.15,2022-12-07
food,burger king whopper,104.46,2022-01-26
